sample_id,total_mapped_reads,total_n_reads,f_mapped_reads
DRR014782,75612507,83531900,0.9051931896676599
DRR014785,83163638,91931356,0.9046275571090239
DRR121397,2121643,5715162,0.37123059678798254
DRR121401,1311236,4546672,0.2883946763698811
ERR10695318,123175020,143348680,0.8592686029616736
ERR1414265,20065130,63252136,0.3172245440059131
ERR1414271,52839024,85578428,0.6174339168744721
ERR1869526,30986940,81926466,0.3782286910801206
ERR1869527,65905139,94888142,0.6945561121852296
ERR1877479,32277602,33986434,0.9497201736434013
ERR1877482,30823007,31647928,0.9739344389307256
ERR2094168,26448645,71793906,0.3683967967977672
ERR2094174,39749460,74071682,0.5366350395553323
ERR2094175,24155246,75550844,0.31972172276460603
ERR2114805,8906686,19681320,0.45254515449167027
ERR2135457,157296772,181123408,0.8684508189024358
ERR2200468,9872987,27736460,0.3559569966751345
ERR2241845,46458095,70324088,0.6606284748406549
ERR2607414,60957416,89860720,0.6783544133632582
ERR2607491,12615621,19884072,0.6344586259796283
ERR2683635,18114238,36400438,0.49763791303829913
ERR2683639,666307,1195720,0.5572433345599305
ERR2750365,2044813,2302414,0.8881169937291903
ERR2848508,16140413,48317752,0.33404726693410736
ERR2889251,17086413,26948570,0.6340378357738462
ERR3155587,242253,1526352,0.15871371741249723
ERR3155596,127110,1585492,0.08017069780232255
ERR3155597,109908,1439744,0.07633857130156473
ERR3273281,12217169,12898526,0.9471755920017527
ERR3890099,1224116,29706908,0.041206442622705806
ERR4398707,56063342,69276474,0.8092695653072643
ERR575692,22662595,25913782,0.8745383055240644
ERR5866866,3363098,35725214,0.09413793854390907
ERR5866883,2778560,27728720,0.10020513027647868
ERR5954451,29503577,77740394,0.37951411720398537
ERR738544,38335764,57823334,0.6629808651296378
ERR738545,37874540,57261432,0.6614319390405745
ERR738546,38897079,58663858,0.663050135570695
ERR9456921,41829,119230,0.35082613436215715
SRR1023996,1957459,2593852,0.7546533109830476
SRR1024014,270115,558784,0.4833978782499141
SRR10527384,58826903,64950652,0.9057168971914247
SRR10810037,85265497,92199570,0.9247927837407485
SRR11267050,105699769,116086786,0.910523692162517
SRR11267079,77979703,84009980,0.9282195163003253
SRR12456173,52495521,63434100,0.8275599559227608
SRR12479795,5999570,14202068,0.42244340753755016
SRR12480094,19291977,38084030,0.5065634335441916
SRR12908323,29018884,29308492,0.9901186318286181
SRR12908327,26485642,27441936,0.965152094225422
SRR15604576,66172197,69896234,0.9467204914073053
SRR1702229,5091893,11437376,0.445197657224874
SRR17255031,10489102,39010886,0.2688762823792313
SRR17257160,80004670,86401374,0.9259652514322284
SRR1873849,37904843,38517518,0.9840936012543695
SRR1916815,29814289,118703892,0.2511652187444705
SRR19759452,35337732,38767044,0.9115405342744214
SRR2107175,12212582,23804204,0.5130430742401636
SRR2107179,13933888,21642308,0.643826342366073
SRR2753158,11362127,18200276,0.6242832251554866
SRR3183878,5306114,11436658,0.4639566908444757
SRR3211795,248006,265918,0.9326408892967005
SRR3719568,57397486,77989648,0.7359628806120525
SRR3961740,18408233,21928632,0.8394610753648472
SRR4069403,285545,3615040,0.07898806098964327
SRR4305336,7906529,8533492,0.9265291395363118
SRR490744,1676830,1924348,0.8713756555467098
SRR5248299,38367432,41799480,0.9178925670845666
SRR5438753,62072667,70265186,0.883405716737162
SRR5574507,20609434,23413664,0.880231047989755
SRR5808811,1121042,20321666,0.05516486689624758
SRR5808830,616801,9491160,0.06498689306681164
SRR5924454,42181502,52973856,0.7962701827860142
SRR6323523,22271039,25427782,0.8758545672603296
SRR6490004,35542379,51183530,0.6944104675859598
SRR6490006,20145399,29472948,0.6835216823237363
SRR6714105,33130863,37145352,0.89192486316996
SRR6765262,1518088,1989862,0.7629111968568675
SRR7299214,6705137,16634768,0.4030796822654816
SRR7610133,3058996,5994846,0.5102709894466013
SRR9109404,25075735,38762198,0.6469121023529161
SRR9182859,104629074,162463680,0.6440151669591628
SRR975540,2349388,4215496,0.5573218430286733
